@RELATION SimpleHROppModel
@ATTRIBUTE preflop_actions {c,r,cr,rr}
@ATTRIBUTE preflop_amount NUMERIC
@ATTRIBUTE flop_actions {c,r,cr,rr}
@ATTRIBUTE flop_amount NUMERIC
@ATTRIBUTE turn_actions {c,r,cr,rr}
@ATTRIBUTE turn_amount NUMERIC
@ATTRIBUTE river_actions {c,r,cr,rr}
@ATTRIBUTE river_amount NUMERIC
@ATTRIBUTE c_card_1_rank {2,3,4,5,6,7,8,9,T,J,Q,K,A}
@ATTRIBUTE c_card_2_rank {2,3,4,5,6,7,8,9,T,J,Q,K,A}
@ATTRIBUTE c_card_3_rank {2,3,4,5,6,7,8,9,T,J,Q,K,A}
@ATTRIBUTE c_card_4_rank {2,3,4,5,6,7,8,9,T,J,Q,K,A}
@ATTRIBUTE c_card_5_rank {2,3,4,5,6,7,8,9,T,J,Q,K,A}
@ATTRIBUTE num_suited_flop {1,2,3}
@ATTRIBUTE num_suited_turn {1,2,3,4,22}
@ATTRIBUTE num_suited_river {0,3,4,5}
@ATTRIBUTE hand_rank NUMERIC
@DATA
rr,3.0,r,0.0,rr,6.0,rr,6.0,6,J,2,A,T,2,22,3,3466
rr,3.0,rr,1.0,r,0.0,r,0.0,K,9,7,8,7,1,2,0,4804
c,0.5,c,0.0,r,4.0,c,0.0,7,3,A,8,9,2,2,0,1682
c,1.0,r,1.0,c,0.0,r,2.0,2,3,2,A,T,1,1,0,1494
c,1.0,c,0.0,cr,0.0,r,2.0,3,J,Q,3,2,2,2,0,4387
c,1.0,rr,1.0,r,0.0,c,0.0,2,5,6,6,2,2,2,0,4245
c,1.0,c,0.0,c,0.0,c,0.0,J,3,9,A,9,1,2,0,3016
c,0.5,r,0.0,c,0.0,c,0.0,J,Q,2,9,4,1,1,0,2275
c,1.0,cr,0.0,c,0.0,r,0.0,Q,K,3,4,K,1,1,0,3915
c,0.5,r,0.0,r,0.0,r,0.0,A,A,9,5,4,1,2,0,5814
c,0.5,c,0.0,c,0.0,c,0.0,9,J,Q,3,T,1,2,0,452
r,1.0,r,0.0,r,2.0,r,0.0,8,Q,8,5,8,2,2,0,7222
c,1.0,c,0.0,rr,6.0,cr,4.0,5,3,T,J,J,2,3,3,6483
c,1.0,c,0.0,r,2.0,c,0.0,T,3,J,A,Q,1,2,0,1706
c,0.5,r,0.0,c,0.0,r,0.0,J,3,J,9,K,1,2,0,5861
c,1.0,c,0.0,c,0.0,c,0.0,5,5,7,9,3,2,22,3,2013
c,1.0,c,0.0,c,0.0,c,0.0,2,9,7,K,T,1,1,0,747
c,0.5,r,0.0,r,0.0,r,0.0,4,2,3,4,K,2,22,3,4234
r,1.0,rr,1.0,r,2.0,c,0.0,Q,2,J,7,2,1,2,0,1486
r,0.5,r,2.0,c,0.0,c,0.0,T,4,T,A,5,2,2,0,4455
c,0.5,c,0.0,rr,4.0,c,0.0,3,9,5,3,T,2,22,3,1714
c,1.0,r,1.0,rr,6.0,r,2.0,8,3,K,K,A,1,1,0,5782
c,0.5,c,0.0,c,0.0,c,0.0,K,T,5,5,6,1,2,0,4487
c,0.5,r,0.0,rr,2.0,c,0.0,6,Q,Q,7,2,1,2,3,3675
c,1.0,r,2.0,c,0.0,c,0.0,Q,9,T,2,A,1,2,3,4081
c,0.5,rr,1.0,rr,2.0,c,0.0,A,7,3,7,5,1,1,0,4926
c,1.0,r,0.0,c,0.0,c,0.0,9,3,5,7,J,1,1,0,3306
c,0.5,r,0.0,rr,2.0,r,0.0,7,4,8,A,Q,1,1,0,5389
c,0.5,r,0.0,r,0.0,r,4.0,7,9,2,T,T,2,3,3,5566
c,0.5,c,0.0,c,0.0,c,0.0,8,K,5,T,T,3,3,3,3177
c,0.5,r,0.0,r,0.0,c,0.0,7,K,J,T,J,1,1,0,4851
c,1.0,c,0.0,c,0.0,c,0.0,3,5,8,4,2,2,2,3,306
c,0.5,c,0.0,r,4.0,c,0.0,4,A,9,2,Q,2,2,0,1276
c,0.5,r,0.0,r,0.0,c,0.0,4,K,7,8,7,2,22,0,2594
c,0.5,c,0.0,c,0.0,c,0.0,K,K,K,5,2,1,1,0,5765
rr,3.0,r,1.0,c,0.0,c,0.0,8,8,T,3,9,1,1,0,2789
c,1.0,c,0.0,c,0.0,c,0.0,3,6,7,2,5,2,3,3,2030
r,0.5,r,2.0,c,0.0,r,0.0,J,2,6,Q,4,2,2,0,3153
c,0.5,c,0.0,r,4.0,r,2.0,4,6,5,Q,K,1,1,0,2977
c,1.0,cr,0.0,r,2.0,c,0.0,9,5,4,A,8,1,2,3,2122
c,1.0,c,0.0,c,0.0,cr,0.0,7,6,3,9,J,1,2,0,3312
c,1.0,r,0.0,r,0.0,r,0.0,8,A,5,5,A,1,2,3,7187
c,1.0,r,0.0,r,4.0,r,0.0,4,2,K,T,5,2,2,0,3848
c,0.5,rr,2.0,r,4.0,rr,4.0,9,K,6,7,K,1,1,0,5764
c,1.0,c,0.0,r,0.0,rr,6.0,3,J,8,T,J,2,2,0,4609
c,0.5,r,0.0,c,0.0,r,0.0,2,T,J,6,8,2,3,4,6205
rr,2.0,rr,2.0,c,0.0,r,4.0,8,9,7,6,7,1,2,0,4924
c,0.5,c,0.0,r,4.0,c,0.0,J,A,7,5,T,2,22,0,3017
c,0.5,c,0.0,c,0.0,c,0.0,8,9,T,K,7,2,2,0,4366
c,0.5,r,0.0,rr,4.0,rr,4.0,8,6,7,4,3,1,1,0,5858
r,0.5,rr,1.0,rr,4.0,r,0.0,J,5,4,J,3,1,1,0,5637
