@RELATION SimpleBotHROM
@ATTRIBUTE raised_preflop NUMERIC
@ATTRIBUTE raised_flop NUMERIC
@ATTRIBUTE raised_turn NUMERIC
@ATTRIBUTE raised_river NUMERIC
@ATTRIBUTE c_card_1_rank {2,3,4,5,6,7,8,9,T,J,Q,K,A}
@ATTRIBUTE c_card_2_rank {2,3,4,5,6,7,8,9,T,J,Q,K,A}
@ATTRIBUTE c_card_3_rank {2,3,4,5,6,7,8,9,T,J,Q,K,A}
@ATTRIBUTE c_card_4_rank {2,3,4,5,6,7,8,9,T,J,Q,K,A}
@ATTRIBUTE c_card_5_rank {2,3,4,5,6,7,8,9,T,J,Q,K,A}
@ATTRIBUTE num_suited_flop {1,2,3}
@ATTRIBUTE num_suited_turn {1,2,3,4,22}
@ATTRIBUTE num_suited_river {0,3,4,5}
@ATTRIBUTE hand_strength NUMERIC
@DATA
0,1,1,0,2,T,Q,Q,A,2,2,0,990.4664335664336
0,0,0,0,5,5,6,T,Q,2,2,3,491.1538461538462
0,0,0,0,4,5,T,Q,K,3,3,3,150.8369905956113
0,0,0,0,5,9,T,K,K,2,22,3,1015.2958041958042
0,0,0,0,4,5,6,7,9,1,2,0,234.9498432601881
0,0,0,0,3,4,5,6,Q,2,3,3,506.2937062937063
0,0,0,0,5,7,9,J,K,2,3,3,247.4858934169279
0,0,0,0,7,8,Q,Q,A,1,2,0,990.4664335664336
0,0,0,0,4,6,7,7,T,2,2,0,651.9391608391609
0,0,0,0,2,3,T,J,Q,3,3,3,88.358934169279
0,0,0,0,2,3,4,6,K,2,2,0,243.64420062695925
0,0,0,0,2,3,5,6,A,3,3,3,196.93730407523512
0,0,0,0,2,8,8,K,K,1,1,0,1527.7972027972028
1,0,1,0,3,6,7,Q,K,2,2,0,257.59561128526644
0,0,1,0,7,7,9,J,Q,2,2,0,1300.8846153846155
0,0,1,0,4,5,7,7,K,2,3,4,1816.4557556773689
0,0,0,0,2,4,8,9,A,2,3,3,211.6974921630094
0,0,0,0,6,6,8,J,Q,1,2,3,1255.025641025641
0,1,0,0,4,7,9,Q,A,2,2,0,587.4433566433567
0,1,0,0,5,6,7,J,K,1,2,3,770.9384615384615
0,0,0,0,3,4,4,5,8,1,2,0,431.5027972027972
0,2,2,2,7,8,Q,K,A,3,3,3,1839.3469068128427
0,0,0,0,5,6,7,7,9,2,2,3,627.1097902097902
0,2,0,0,2,3,4,9,J,1,2,0,870.8615384615384
0,0,0,0,2,4,6,7,J,2,3,3,197.94827586206895
0,0,0,0,6,T,T,Q,K,1,1,0,840.5818181818182
2,2,0,0,4,4,5,T,K,2,22,0,457.5433566433567
0,0,0,0,2,5,6,7,A,2,2,3,182.3793103448276
0,0,0,0,3,3,4,7,8,1,2,0,371.24615384615385
0,0,0,0,4,8,T,J,A,2,3,4,851.4825174825174
0,0,0,0,4,5,9,Q,K,2,22,3,150.63479623824452
0,0,0,0,2,2,3,7,A,1,1,0,315.8342657342657
1,1,0,0,6,8,9,T,K,3,3,4,241.8244514106583
0,0,0,0,2,5,6,7,A,1,2,0,207.65360501567397
0,0,0,0,8,8,J,J,Q,2,2,0,1405.109557109557
0,0,0,0,4,7,7,J,Q,2,2,3,626.2013986013985
0,0,0,0,3,4,8,J,K,2,22,0,128.19122257053291
0,2,1,0,2,3,5,J,K,1,2,3,1052.8426573426573
0,0,0,0,2,5,T,Q,K,2,2,0,157.7115987460815
0,0,0,0,2,3,7,9,9,2,3,3,767.0020979020978
0,1,2,0,3,6,8,9,T,1,2,3,769.1216783216782
0,1,0,2,4,6,7,Q,A,2,22,0,1098.2622377622379
0,0,0,0,4,4,7,7,A,2,2,0,1209.1666666666667
0,0,1,0,8,9,T,Q,A,2,3,3,256.38244514106583
0,2,0,0,4,4,7,8,9,2,2,0,1241.3275058275058
0,2,0,0,5,7,8,T,J,2,2,3,224.63793103448276
0,1,0,0,3,4,5,9,A,1,2,3,780.0223776223776
0,0,0,0,7,9,T,Q,K,2,2,0,1523.032634032634
0,1,1,2,6,7,Q,K,A,2,3,3,1123.3944055944057
0,1,1,2,7,7,8,K,A,2,2,0,1595.6923076923076
0,0,0,0,2,3,3,7,9,1,1,0,360.64825174825177
0,0,0,0,6,6,7,8,J,1,1,0,549.5937062937063
0,1,1,0,2,5,9,Q,A,2,22,0,654.0587412587413
0,0,0,0,2,6,8,J,Q,2,3,3,81.07993730407523
2,1,0,0,4,6,9,T,A,2,2,0,851.7853146853147
1,1,0,0,4,5,9,J,Q,1,1,0,907.1972027972027
2,2,1,2,4,5,7,T,A,2,22,3,1852.371182458888
0,1,1,0,5,6,9,T,K,2,3,3,571.6979020979021
0,0,0,0,6,6,9,T,Q,2,2,0,574.1202797202798
0,0,1,1,4,4,4,7,9,2,2,0,1656.027972027972
0,2,0,0,2,6,6,Q,A,2,2,0,591.0769230769231
0,0,0,0,2,4,4,9,T,1,2,0,436.04475524475527
0,0,0,0,7,8,T,J,Q,1,2,0,90.58307210031347
0,0,0,0,4,6,8,J,Q,2,2,3,920.5202797202797
0,0,0,1,3,5,Q,Q,K,1,2,3,1450.9685314685314
0,0,0,0,3,6,7,T,J,1,2,0,638.3132867132867
0,2,0,1,3,5,T,Q,A,2,22,3,388.2027972027972
0,0,0,0,5,7,7,8,8,2,2,0,1260.3857808857808
0,1,0,0,2,3,5,K,A,2,22,3,1050.4202797202797
0,1,1,2,3,K,K,A,A,2,2,0,1927.2307692307693
0,2,1,0,2,8,J,Q,A,2,2,3,454.8181818181818
0,0,1,0,3,5,6,8,Q,1,2,0,387.2944055944056
0,0,0,1,2,4,5,7,8,2,2,3,1751.2
0,0,1,1,4,5,6,9,K,1,2,3,433.31958041958046
0,0,1,0,3,5,7,T,A,1,2,0,845.1237762237762
0,0,0,0,6,6,8,J,A,1,2,0,585.3237762237762
0,0,1,1,4,5,8,T,A,2,3,3,1844.5434612372749
0,0,0,1,7,9,9,Q,K,2,22,0,1306.8403263403263
1,1,1,2,2,3,3,J,J,1,2,3,1372.948717948718
0,0,0,0,2,4,6,7,J,2,22,3,89.36990595611286
0,2,2,0,2,2,3,9,Q,1,2,0,1423.572261072261
0,0,0,0,4,4,6,7,9,2,2,3,1206.188811188811
0,0,0,0,2,3,8,T,K,3,3,3,856.6300699300699
0,1,1,1,4,5,5,8,K,2,22,0,1215.1223776223776
0,0,0,0,6,T,J,Q,A,2,2,0,224.2335423197492
0,0,0,0,3,5,5,6,8,2,3,3,474.8027972027972
0,1,0,1,3,4,9,A,A,2,2,3,1573.6561771561771
0,0,0,0,2,4,6,J,Q,1,1,0,220.59404388714734
0,0,0,0,7,8,8,Q,A,3,3,3,720.6741258741258
0,0,0,1,4,8,8,9,T,2,2,0,1239.5407925407926
0,0,0,0,4,7,8,J,J,1,2,3,868.1363636363636
0,0,0,0,3,3,4,K,A,1,1,0,390.62517482517484
0,0,0,0,4,4,5,6,J,2,3,3,426.35524475524477
0,0,0,2,3,4,5,Q,K,1,2,0,1745.4
0,1,0,2,5,6,7,J,J,1,2,0,917.7951048951049
0,0,0,0,2,3,4,5,9,2,2,0,665.565034965035
1,2,2,0,3,3,4,6,J,2,2,0,1568.2960372960374
0,0,0,1,3,4,6,9,J,1,2,0,614.0895104895105
