@RELATION SimpleBotHROM

@ATTRIBUTE preflop_actions {c,r,rr}
@ATTRIBUTE flop_actions {c,r,rr}
@ATTRIBUTE turn_actions {c,r,rr}
c,r,rr,r,A,T,3,Q,8,2,22,0,two_pairs
c,r,r,c,Q,2,K,6,3,1,1,0,one_pair
c,c,r,r,3,Q,3,K,6,2,22,3,two_pairs
c,r,rr,r,6,3,J,J,K,2,2,0,three_of_a_kind
r,c,c,c,6,9,6,J,Q,1,1,0,two_pairs
r,rr,r,c,6,3,T,2,J,2,2,0,one_pair
c,r,c,r,7,Q,9,7,4,2,2,0,two_pairs
c,c,rr,r,2,4,7,K,3,1,2,0,one_pair
c,r,r,r,8,4,5,K,K,2,22,0,full_house
c,r,r,c,Q,7,T,A,J,2,3,3,one_pair
r,r,r,r,A,2,9,5,3,3,3,3,flush
c,r,c,c,T,8,T,J,Q,1,2,0,two_pairs
c,c,r,c,7,3,T,4,6,2,2,3,high_card
c,r,r,c,K,T,5,T,6,2,2,3,one_pair
c,c,rr,r,8,Q,J,A,A,1,2,0,flush
c,r,r,r,4,K,7,6,9,1,2,3,three_of_a_kind
c,r,r,r,6,6,7,8,2,1,2,0,one_pair
c,c,c,c,2,K,7,5,K,1,2,0,one_pair
c,c,c,c,5,6,9,2,6,2,3,3,two_pairs
c,r,r,r,A,4,3,T,6,2,3,4,flush
c,r,c,c,5,2,K,2,Q,1,2,0,two_pairs
r,r,r,r,8,2,9,6,8,2,3,3,two_pairs
c,rr,rr,c,K,Q,7,2,A,2,2,0,one_pair
c,rr,r,r,J,4,K,K,2,2,22,0,three_of_a_kind
c,r,r,c,A,2,6,5,Q,3,4,4,flush
c,c,c,c,7,7,4,Q,J,2,2,3,one_pair
c,c,c,c,K,3,4,8,J,2,22,0,high_card
c,rr,r,c,2,3,K,5,J,1,2,3,one_pair
c,c,c,c,5,2,Q,T,K,2,2,0,high_card
c,c,c,c,9,9,2,7,3,2,3,3,one_pair
