@RELATION SimpleBotHROM
@ATTRIBUTE raised_preflop NUMERIC
@ATTRIBUTE called_preflop NUMERIC
@ATTRIBUTE raised_flop NUMERIC
@ATTRIBUTE called_flop NUMERIC
@ATTRIBUTE raised_turn NUMERIC
@ATTRIBUTE called_turn NUMERIC
@ATTRIBUTE raised_river NUMERIC
@ATTRIBUTE called_river NUMERIC
@ATTRIBUTE c_card_1_rank {2,3,4,5,6,7,8,9,T,J,Q,K,A}
@ATTRIBUTE c_card_2_rank {2,3,4,5,6,7,8,9,T,J,Q,K,A}
@ATTRIBUTE c_card_3_rank {2,3,4,5,6,7,8,9,T,J,Q,K,A}
@ATTRIBUTE c_card_4_rank {2,3,4,5,6,7,8,9,T,J,Q,K,A}
@ATTRIBUTE c_card_5_rank {2,3,4,5,6,7,8,9,T,J,Q,K,A}
@ATTRIBUTE num_suited_flop {1,2,3}
@ATTRIBUTE num_suited_turn {1,2,3,4,22}
@ATTRIBUTE num_suited_river {0,3,4,5}
@ATTRIBUTE other_players_hand_rank NUMERIC
@ATTRIBUTE simplebots_hand_rank {higher,lower}
@DATA
0,1,0,1,0,1,0,1,5,6,7,7,9,2,2,3,4274,lower
0,1,2,1,0,1,0,2,2,3,4,9,J,1,2,0,1395,higher
0,1,0,1,0,1,0,1,2,4,6,7,J,2,3,3,928,higher
0,1,0,1,0,1,0,1,6,T,T,Q,K,1,1,0,4498,lower
2,0,2,1,0,1,0,1,4,4,5,T,K,2,22,0,1864,higher
0,1,0,1,0,1,0,1,2,5,6,7,A,2,2,3,4096,lower
0,1,0,1,0,1,0,1,3,3,4,7,8,1,2,0,4166,lower
0,1,0,1,0,1,0,1,4,8,T,J,A,2,3,4,3255,lower
0,1,0,1,0,1,0,1,4,5,9,Q,K,2,22,3,4201,lower
0,1,0,1,0,1,0,1,2,2,3,7,A,1,1,0,1475,lower
1,1,1,2,0,1,0,1,6,8,9,T,K,3,3,4,2760,lower
0,1,0,1,0,1,0,1,2,5,6,7,A,1,2,0,2341,lower
0,1,0,1,0,1,0,1,8,8,J,J,Q,2,2,0,4607,higher
0,1,0,1,0,1,0,1,4,7,7,J,Q,2,2,3,5369,lower
0,1,0,1,0,1,0,1,3,4,8,J,K,2,22,0,654,lower
0,1,2,1,1,0,0,1,2,3,5,J,K,1,2,3,1431,higher
0,1,0,1,0,1,0,1,2,5,T,Q,K,2,2,0,4729,lower
0,1,0,1,0,1,0,1,2,3,7,9,9,2,3,3,2865,higher
0,1,1,0,2,0,0,1,3,6,8,9,T,1,2,3,116,higher
0,1,1,1,0,1,2,1,4,6,7,Q,A,2,22,0,4894,lower
0,1,0,1,0,1,0,1,4,4,7,7,A,2,2,0,4279,higher
0,1,0,1,1,0,0,1,8,9,T,Q,A,2,3,3,5860,lower
0,1,2,1,0,1,0,2,4,4,7,8,9,2,2,0,1828,higher
0,1,2,1,0,2,0,1,5,7,8,T,J,2,2,3,1231,lower
0,1,1,0,0,2,0,2,3,4,5,9,A,1,2,3,2153,higher
0,1,0,1,0,1,0,2,7,9,T,Q,K,2,2,0,3695,higher
0,1,1,1,1,0,2,1,6,7,Q,K,A,2,3,3,3692,higher
0,1,1,1,1,1,2,1,7,7,8,K,A,2,2,0,2594,higher
0,1,0,1,0,1,0,1,2,3,3,7,9,1,1,0,4263,lower
0,1,0,1,0,1,0,1,6,6,7,8,J,1,1,0,4419,lower
0,1,1,1,1,2,0,1,2,5,9,Q,A,2,22,0,4080,lower
0,1,0,1,0,1,0,1,2,6,8,J,Q,2,3,3,2715,lower
2,0,1,1,0,1,0,2,4,6,9,T,A,2,2,0,1925,higher
1,1,1,0,0,2,0,2,4,5,9,J,Q,1,1,0,4409,lower
2,0,2,1,1,0,2,1,4,5,7,T,A,2,22,3,5853,higher
