@RELATION SimpleBotHROM
@ATTRIBUTE preflop_actions {c,r,rr}
@ATTRIBUTE flop_actions {c,r,rr}
@ATTRIBUTE turn_actions {c,r,rr}
@ATTRIBUTE river_actions {c,r,rr}
@ATTRIBUTE c_card_1_rank {2,3,4,5,6,7,8,9,T,J,Q,K,A}
@ATTRIBUTE c_card_2_rank {2,3,4,5,6,7,8,9,T,J,Q,K,A}
@ATTRIBUTE c_card_3_rank {2,3,4,5,6,7,8,9,T,J,Q,K,A}
@ATTRIBUTE c_card_4_rank {2,3,4,5,6,7,8,9,T,J,Q,K,A}
@ATTRIBUTE c_card_5_rank {2,3,4,5,6,7,8,9,T,J,Q,K,A}
@ATTRIBUTE num_suited_flop {1,2,3}
@ATTRIBUTE num_suited_turn {1,2,3,4,22}
@ATTRIBUTE num_suited_river {0,3,4,5}
@ATTRIBUTE hand_strength NUMERIC
@DATA
c,c,c,c,2,5,6,7,A,2,2,3,0.7068965517241379
c,c,c,c,3,3,4,7,8,1,2,0,1.1307692307692307
c,c,c,c,4,8,T,J,A,2,3,4,1.6853146853146854
c,c,c,c,4,5,9,Q,K,2,22,3,0.5838557993730408
c,c,c,c,2,2,3,7,A,1,1,0,1.0667832167832167
r,r,c,c,6,8,9,T,K,3,3,4,0.9373040752351097
c,c,c,c,2,5,6,7,A,1,2,0,0.804858934169279
c,c,c,c,8,8,J,J,Q,2,2,0,2.55011655011655
c,c,c,c,4,7,7,J,Q,2,2,3,1.425174825174825
c,c,c,c,3,4,8,J,K,2,22,0,0.49686520376175547
c,rr,r,c,2,3,5,J,K,1,2,3,1.917832167832168
c,c,c,c,2,5,T,Q,K,2,2,0,0.6112852664576802
c,c,c,c,2,3,7,9,9,2,3,3,1.5877622377622378
c,r,rr,c,3,6,8,9,T,1,2,3,1.5902097902097903
c,r,c,rr,4,6,7,Q,A,2,22,0,1.9702797202797204
c,c,c,c,4,4,7,7,A,2,2,0,2.1666666666666665
c,c,r,c,8,9,T,Q,A,2,3,3,0.9937304075235109
c,rr,c,c,4,4,7,8,9,2,2,0,2.2296037296037294
c,rr,c,c,5,7,8,T,J,2,2,3,0.8706896551724138
c,r,c,c,3,4,5,9,A,1,2,3,1.6027972027972028
c,c,c,c,7,9,T,Q,K,2,2,0,2.780885780885781
c,r,r,rr,6,7,Q,K,A,2,3,3,1.9993006993006994
c,r,r,rr,7,7,8,K,A,2,2,0,2.9230769230769234
c,c,c,c,2,3,3,7,9,1,1,0,1.1185314685314685
c,c,c,c,6,6,7,8,J,1,1,0,1.3367132867132867
c,r,r,c,2,5,9,Q,A,2,22,0,1.4573426573426573
c,c,c,c,2,6,8,J,Q,2,3,3,0.31426332288401254
rr,r,c,c,4,6,9,T,A,2,2,0,1.6856643356643357
r,r,c,c,4,5,9,J,Q,1,1,0,1.7496503496503495
rr,rr,r,rr,4,5,7,T,A,2,22,3,5.790133124510572
c,r,r,c,5,6,9,T,K,2,3,3,1.3622377622377622
c,c,c,c,6,6,9,T,Q,2,2,0,1.365034965034965
c,c,r,r,4,4,4,7,9,2,2,0,3.226107226107226
c,rr,c,c,2,6,6,Q,A,2,2,0,1.3846153846153846
c,c,c,c,2,4,4,9,T,1,2,0,1.2055944055944057
c,c,c,c,7,8,T,J,Q,1,2,0,0.3510971786833856
c,c,c,c,4,6,8,J,Q,2,2,3,1.765034965034965
c,c,c,r,3,5,Q,Q,K,1,2,3,2.63986013986014
c,c,c,c,3,6,7,T,J,1,2,0,1.4391608391608393
c,rr,c,r,3,5,T,Q,A,2,22,3,1.1503496503496504
c,c,c,c,5,7,7,8,8,2,2,0,2.266899766899767
c,r,c,c,2,3,5,K,A,2,22,3,1.9150349650349652
c,r,r,rr,3,K,K,A,A,2,2,0,6.923076923076923
c,rr,r,c,2,8,J,Q,A,2,2,3,1.2272727272727273
c,c,r,c,3,5,6,8,Q,1,2,0,1.1493006993006993
c,c,c,r,2,4,5,7,8,2,2,3,4.4
c,c,r,r,4,5,6,9,K,1,2,3,1.2024475524475524
c,c,r,c,3,5,7,T,A,1,2,0,1.6779720279720278
c,c,c,c,6,6,8,J,A,1,2,0,1.377972027972028
c,c,r,r,4,5,8,T,A,2,3,3,5.696945967110415
c,c,c,r,7,9,9,Q,K,2,22,0,2.3578088578088576
r,r,r,rr,2,3,3,J,J,1,2,3,2.4871794871794872
c,c,c,c,2,4,6,7,J,2,22,3,0.3463949843260188
c,rr,rr,c,2,2,3,9,Q,1,2,0,2.586247086247086
c,c,c,c,4,4,6,7,9,2,2,3,2.160839160839161
c,c,c,c,2,3,8,T,K,3,3,3,1.6912587412587412
c,r,r,r,4,5,5,8,K,2,22,0,2.1783216783216783
c,c,c,c,6,T,J,Q,A,2,2,0,0.8691222570532915
c,c,c,c,3,5,5,6,8,2,3,3,1.2503496503496503
c,r,c,r,3,4,9,A,A,2,2,3,2.87995337995338
c,c,c,c,2,4,6,J,Q,1,1,0,0.8550156739811913
c,c,c,c,7,8,8,Q,A,3,3,3,1.5342657342657344
c,c,c,r,4,8,8,9,T,2,2,0,2.226107226107226
c,c,c,c,4,7,8,J,J,1,2,3,1.7045454545454546
c,c,c,c,3,3,4,K,A,1,1,0,1.1531468531468532
c,c,c,c,4,4,5,6,J,2,3,3,1.1944055944055945
c,c,c,rr,3,4,5,Q,K,1,2,0,4.3
c,r,c,rr,5,6,7,J,J,1,2,0,1.761888111888112
c,c,c,c,2,3,4,5,9,2,2,0,1.4706293706293705
r,rr,rr,c,3,3,4,6,J,2,2,0,2.8694638694638694
c,c,c,r,3,4,6,9,J,1,2,0,1.4111888111888111
c,r,c,rr,2,3,J,Q,Q,2,2,0,2.695804195804196
c,r,c,c,3,6,7,Q,K,2,22,0,1.1538461538461537
c,c,rr,r,4,6,8,T,K,2,22,3,1.8877622377622378
c,c,c,c,5,6,6,K,A,1,2,0,1.3846153846153846
c,c,c,c,2,7,J,K,K,2,22,0,2.7156177156177157
c,c,c,c,4,5,6,8,J,2,2,0,0.8589341692789969
c,r,r,rr,3,8,Q,A,A,2,22,0,6.993589743589744
c,c,c,c,2,3,4,8,T,2,2,0,1.0513986013986014
c,r,c,r,8,8,9,K,A,1,2,3,2.935897435897436
r,r,r,c,2,2,3,6,6,2,2,3,5.458888018794049
c,c,r,r,3,T,J,Q,Q,1,1,0,2.6002331002331003
c,r,c,c,6,6,8,J,A,2,3,3,1.3842657342657343
c,c,r,rr,2,5,6,7,J,2,2,0,1.4538461538461538
c,r,r,c,4,9,K,A,A,1,2,3,1.9996503496503495
c,c,c,c,3,T,J,Q,Q,2,2,0,1.8101398601398602
c,r,r,r,7,9,T,T,A,3,4,4,2.958041958041958
c,c,r,r,4,5,5,6,K,2,2,0,2.0757575757575757
c,r,r,c,3,7,J,J,K,1,1,0,2.486013986013986
r,r,r,r,3,8,9,J,Q,2,2,3,1.8265734265734266
c,c,r,c,9,J,J,Q,A,2,2,0,1.7657342657342658
c,r,r,r,2,2,3,3,6,2,3,3,2.0955710955710956
c,c,c,c,5,8,9,T,J,2,3,3,4.9
c,c,c,rr,5,T,J,Q,K,1,2,3,4.9
c,c,r,c,4,8,T,T,Q,2,22,3,2.6888111888111887
c,c,c,c,3,5,8,T,K,2,2,0,1.6723776223776223
r,r,r,c,3,4,8,9,J,1,2,0,0.8652037617554859
c,c,r,r,3,4,6,9,J,1,1,0,1.3776223776223775
c,c,r,r,3,4,8,8,J,1,2,3,2.217948717948718
r,r,r,c,3,3,7,8,A,2,2,0,2.6025641025641026
c,c,c,c,2,3,J,K,K,2,3,4,1.8821678321678321
c,c,c,c,4,5,7,Q,A,2,2,3,1.832167832167832
c,c,c,c,3,7,J,K,A,2,3,4,0.9490595611285266
c,c,r,c,2,4,5,5,K,2,2,0,2.05011655011655
c,r,r,c,7,8,T,Q,K,2,2,0,1.9003496503496504
c,r,rr,r,6,7,9,T,K,2,22,3,3.6002331002331003
c,c,c,c,5,6,Q,K,A,1,2,3,0.9921630094043887
r,c,c,c,3,4,6,8,T,1,2,0,0.9310344827586207
c,c,c,c,2,3,8,8,Q,2,22,3,1.5034965034965035
c,c,r,r,4,8,9,T,Q,2,22,0,1.193006993006993
c,r,rr,r,4,7,7,T,J,2,2,0,2.5372960372960374
c,c,c,rr,2,7,8,J,K,1,2,0,1.7416083916083918
c,c,c,c,7,J,Q,Q,Q,2,2,0,3.8216783216783217
c,rr,c,c,3,5,7,T,Q,2,22,3,1.26993006993007
c,c,c,r,3,7,8,8,K,2,2,0,2.2552447552447554
c,c,c,c,2,5,6,6,J,2,2,3,1.3363636363636364
c,r,r,rr,7,T,J,Q,Q,2,22,0,2.702797202797203
c,c,c,r,2,3,8,9,Q,1,2,0,1.0367132867132867
c,c,c,c,2,2,6,7,T,2,2,0,1.0667832167832167
c,c,c,c,8,T,J,K,A,2,2,0,1.7688811188811189
c,r,c,c,2,6,Q,Q,K,2,2,0,1.8164335664335665
c,c,c,c,2,3,9,T,A,2,3,3,0.7774294670846394
c,c,r,c,3,9,9,Q,A,2,22,0,1.6115384615384616
c,r,c,c,3,7,8,9,T,2,3,4,1.116083916083916
rr,r,r,r,4,6,8,8,Q,1,2,0,2.7937062937062938
c,rr,r,c,3,4,9,J,A,1,2,0,1.3006993006993006
c,c,c,c,3,4,4,6,Q,1,2,0,3.2296037296037294
c,r,r,c,2,3,5,9,J,2,2,0,1.579020979020979
c,rr,r,rr,5,7,9,J,A,1,2,0,1.9961538461538462
c,r,c,c,3,3,5,K,K,2,2,3,2.730769230769231
c,r,c,c,2,4,5,6,A,2,2,0,1.2951048951048951
c,c,c,c,2,3,J,J,Q,2,22,0,1.7262237762237762
c,r,c,c,2,3,4,7,Q,2,2,0,1.1867132867132868
c,c,c,c,4,T,K,A,A,1,2,0,1.9933566433566434
c,c,c,c,3,8,T,Q,A,1,2,3,1.4576923076923076
c,r,c,r,9,9,J,Q,A,1,2,0,1.6153846153846154
c,r,c,c,5,6,7,9,K,1,1,0,1.4416083916083915
c,c,rr,rr,2,8,9,9,A,2,3,3,2.945221445221445
c,r,r,rr,2,3,7,7,Q,2,3,4,5.786217697729052
c,r,c,rr,9,9,T,J,Q,1,2,0,4.9
c,rr,rr,rr,2,3,3,J,K,2,3,3,6.134615384615385
rr,rr,r,rr,2,5,8,9,J,2,22,0,1.9622377622377623
c,c,c,c,2,4,5,5,J,1,2,0,1.3006993006993006
c,c,r,c,3,7,8,K,A,2,2,0,1.4615384615384617
c,c,c,c,3,3,J,K,K,2,2,0,2.7284382284382285
c,c,rr,r,5,6,8,T,Q,2,2,0,2.2412587412587412
c,c,c,c,8,J,Q,K,K,2,2,0,1.9031468531468532
c,r,r,c,3,6,8,9,J,2,2,0,1.3618881118881119
c,c,c,c,4,7,8,J,Q,1,2,3,0.3510971786833856
c,c,c,r,2,6,9,9,J,1,2,3,1.5961538461538463
c,r,r,c,5,8,9,J,K,1,2,3,1.4388111888111887
c,c,c,c,5,5,6,8,A,2,22,0,1.3006993006993006
c,rr,rr,rr,7,8,9,T,A,2,2,0,2.448717948717949
rr,r,c,rr,3,6,T,J,Q,1,1,0,1.9807692307692308
c,c,c,c,2,5,7,T,A,2,2,0,0.7061128526645768
r,r,r,r,5,5,9,A,A,2,2,0,2.8962703962703964
c,rr,r,r,7,T,T,T,Q,3,3,3,6.67948717948718
c,c,c,c,2,4,5,Q,K,2,2,0,0.6057993730407524
c,r,r,c,4,8,8,9,Q,2,2,3,2.6620046620046622
c,c,c,c,7,T,K,K,A,2,2,0,1.9157342657342658
c,c,c,c,4,5,8,T,K,2,22,3,0.45297805642633227
c,r,c,r,3,4,T,J,J,1,2,0,6.134615384615385
c,c,c,c,2,5,8,9,Q,1,1,0,0.3330721003134796
c,r,c,r,2,8,K,A,A,2,2,0,1.9993006993006994
c,rr,rr,c,2,4,8,T,J,2,22,3,1.4905594405594407
c,r,c,c,3,5,9,T,K,1,2,3,1.1286713286713286
c,c,c,c,3,7,9,K,A,2,3,4,1.9164335664335663
c,r,c,c,5,5,9,T,A,1,2,0,1.3076923076923077
r,rr,rr,c,6,7,J,Q,A,3,4,4,2.973193473193473
c,r,r,c,2,2,5,7,9,1,1,0,1.065034965034965
c,r,r,c,2,5,6,T,J,2,2,0,0.963166144200627
c,r,rr,r,2,2,7,J,K,2,2,0,2.011655011655012
c,c,c,c,5,7,9,K,A,3,3,4,2.3461538461538463
c,r,rr,r,8,9,T,T,J,2,2,0,4.7
c,r,rr,rr,3,5,T,J,Q,1,1,0,3.129370629370629
c,c,c,c,3,4,5,6,A,1,2,0,1.3024475524475525
c,c,c,c,4,6,Q,K,A,1,2,0,1.2307692307692308
c,c,c,c,3,5,9,9,J,1,2,0,1.5674825174825173
c,r,c,c,2,2,5,6,A,1,1,0,2.051282051282051
c,rr,rr,rr,2,6,Q,Q,K,1,2,0,6.839743589743589
r,rr,r,c,2,J,J,Q,A,2,3,4,2.986013986013986
c,r,c,c,2,7,8,J,Q,2,2,3,1.1181818181818182
c,c,c,r,4,5,7,9,Q,2,22,0,1.4206293706293707
c,r,c,c,2,5,5,9,T,2,3,3,1.25
r,r,rr,rr,5,9,9,J,K,2,2,0,2.948717948717949
c,r,c,c,2,5,7,K,A,3,4,4,5.619420516836335
c,c,c,r,2,6,K,A,A,1,2,3,2.91025641025641
c,c,c,c,4,6,7,J,A,2,3,3,0.7272727272727273
c,r,c,c,2,2,4,J,Q,2,2,0,1.0576923076923077
c,r,c,r,3,5,6,8,T,2,2,3,1.6258741258741258
c,rr,rr,rr,2,4,4,7,J,1,1,0,6.211538461538462
c,c,c,c,6,6,Q,Q,A,2,3,3,2.641025641025641
c,c,c,r,3,5,6,7,K,2,2,0,1.4597902097902098
c,r,r,c,4,5,7,J,A,2,2,0,1.224125874125874
c,c,c,r,6,7,T,J,Q,2,2,3,1.8426573426573427
rr,r,r,rr,2,5,9,K,A,2,3,4,5.93265465935787
r,c,r,r,5,5,5,T,T,2,2,0,6.641025641025641
c,r,c,r,4,5,J,Q,Q,1,2,0,2.628205128205128
c,c,r,r,3,T,J,Q,A,2,2,3,1.7657342657342658
c,r,c,rr,3,5,5,K,K,2,2,3,5.418167580266249
c,r,c,c,2,2,9,K,A,2,3,3,2.717948717948718
c,c,c,r,4,5,5,8,K,2,3,3,1.306993006993007
c,r,r,r,2,4,4,7,T,1,2,0,2.3974358974358974
c,r,r,c,2,6,7,8,K,2,2,0,0.5807210031347962
c,c,c,c,4,7,9,Q,A,2,3,4,1.9993006993006994
c,c,c,c,2,9,9,J,A,1,2,0,1.6073426573426572
c,rr,r,r,4,5,8,T,A,2,2,3,2.448717948717949
c,c,c,c,3,6,T,J,K,1,2,0,1.1534965034965035
c,c,c,c,8,T,T,T,Q,1,1,0,3.6794871794871797
c,r,c,c,T,J,Q,Q,K,2,22,3,2.844988344988345
c,c,c,c,2,6,7,J,K,2,3,3,0.9584639498432602
c,r,c,r,4,T,Q,K,A,2,3,4,5.929522317932655
c,rr,c,c,4,5,J,Q,K,1,2,3,1.7482517482517483
c,c,c,c,3,6,6,8,9,1,2,0,2.3286713286713288
c,rr,r,r,4,7,9,Q,A,1,2,0,1.6108391608391608
c,rr,c,c,8,9,K,K,A,2,2,0,2.7948717948717947
c,c,c,c,6,8,9,T,K,2,22,0,0.4537617554858934
c,c,r,rr,4,6,8,9,T,1,2,0,4.6
c,r,rr,c,3,4,7,Q,K,1,2,0,1.2104895104895106
rr,r,rr,rr,5,7,Q,Q,K,2,2,0,3.8333333333333335
c,c,c,c,4,5,Q,K,K,1,2,3,1.920979020979021
c,c,r,c,4,7,8,J,J,2,3,3,1.7192307692307693
c,c,c,c,2,5,8,J,K,2,2,0,0.4780564263322884
c,c,rr,c,3,3,5,7,K,1,2,0,2.062937062937063
rr,r,c,c,2,2,6,9,K,2,3,3,1.0765734265734266
c,rr,r,r,4,6,7,A,A,1,2,0,2.9044289044289044
c,r,r,c,4,7,T,J,Q,1,2,0,1.458041958041958
c,c,r,c,6,6,9,J,K,2,22,0,1.3842657342657343
c,r,rr,rr,5,T,Q,Q,K,2,2,3,2.6923076923076925
c,c,c,c,6,7,8,T,T,2,3,3,1.6646853146853147
c,r,c,c,3,3,4,6,9,2,2,0,2.2925407925407923
c,c,c,c,2,2,6,T,Q,1,2,0,1.073076923076923
c,r,r,r,4,5,7,8,9,1,2,0,1.5751748251748252
c,rr,c,rr,3,7,K,K,A,2,2,0,2.9988344988344986
c,r,c,c,4,8,T,J,A,2,3,3,1.762237762237762
c,r,c,c,3,6,T,Q,A,2,2,0,0.9913793103448276
c,r,c,rr,2,3,5,9,T,2,2,0,1.5527972027972028
c,c,c,c,3,5,7,8,K,3,3,3,0.6026645768025078
c,c,r,r,2,6,7,8,K,1,1,0,1.5087412587412588
c,c,c,c,2,5,5,7,T,1,1,0,1.2727272727272727
c,rr,r,c,3,4,4,K,K,2,22,0,2.733100233100233
c,c,c,rr,3,5,8,9,9,2,3,3,6.2756410256410255
c,rr,r,c,2,3,5,T,Q,1,2,0,1.118881118881119
c,c,c,c,6,6,J,Q,A,3,3,4,5.8512137823022705
