@RELATION SimpleBotHROM
@ATTRIBUTE preflop_actions {c,r,rr}
@ATTRIBUTE flop_actions {c,r,rr}
@ATTRIBUTE turn_actions {c,r,rr}
@ATTRIBUTE river_actions {c,r,rr}
@ATTRIBUTE c_card_1_rank {2,3,4,5,6,7,8,9,T,J,Q,K,A}
@ATTRIBUTE c_card_2_rank {2,3,4,5,6,7,8,9,T,J,Q,K,A}
@ATTRIBUTE c_card_3_rank {2,3,4,5,6,7,8,9,T,J,Q,K,A}
@ATTRIBUTE c_card_4_rank {2,3,4,5,6,7,8,9,T,J,Q,K,A}
@ATTRIBUTE c_card_5_rank {2,3,4,5,6,7,8,9,T,J,Q,K,A}
@ATTRIBUTE num_suited_flop {1,2,3}
@ATTRIBUTE num_suited_turn {1,2,3,4,22}
@ATTRIBUTE num_suited_river {0,3,4,5}
@ATTRIBUTE hand_rank NUMERIC
@DATA
c,c,c,r,2,4,5,7,8,2,2,3,5856
c,c,r,r,4,5,6,9,K,1,2,3,1855
c,c,r,c,3,5,7,T,A,1,2,0,3215
c,c,c,c,6,6,8,J,A,1,2,0,2357
c,c,r,r,4,5,8,T,A,2,3,3,6752
c,c,c,r,7,9,9,Q,K,2,22,0,4443
r,r,r,rr,2,3,3,J,J,1,2,3,4554
c,c,c,c,2,4,6,7,J,2,22,3,442
c,rr,rr,c,2,2,3,9,Q,1,2,0,4639
c,c,c,c,4,4,6,7,9,2,2,3,4274
c,c,c,c,2,3,8,T,K,3,3,3,3253
c,r,r,r,4,5,5,8,K,2,22,0,4289
c,c,c,c,6,T,J,Q,A,2,2,0,1109
c,c,c,c,3,5,5,6,8,2,3,3,1992
c,r,c,r,3,4,9,A,A,2,2,3,4891
c,c,c,c,2,4,6,J,Q,1,1,0,1091
c,c,c,c,7,8,8,Q,A,3,3,3,2804
c,c,c,r,4,8,8,9,T,2,2,0,4330
c,c,c,c,4,7,8,J,J,1,2,3,3291
c,c,c,c,3,3,4,K,A,1,1,0,1714
c,c,c,c,4,4,5,6,J,2,3,3,1832
c,c,c,rr,3,4,5,Q,K,1,2,0,5855
c,r,c,rr,5,6,7,J,J,1,2,0,3455
c,c,c,c,2,3,4,5,9,2,2,0,2622
r,rr,rr,c,3,3,4,6,J,2,2,0,4882
c,c,c,r,3,4,6,9,J,1,2,0,2452
c,r,c,rr,2,3,J,Q,Q,2,2,0,4733
c,r,c,c,3,6,7,Q,K,2,22,0,1716
c,c,rr,r,4,6,8,T,K,2,22,3,3815
c,c,c,c,5,6,6,K,A,1,2,0,2376
c,c,c,c,2,7,J,K,K,2,22,0,4750
c,c,c,c,4,5,6,8,J,2,2,0,1096
c,r,r,rr,3,8,Q,A,A,2,22,0,7294
c,c,c,c,2,3,4,8,T,2,2,0,1423
c,r,c,r,8,8,9,K,A,1,2,3,4939
r,r,r,c,2,2,3,6,6,2,2,3,6448
c,c,r,r,3,T,J,Q,Q,1,1,0,4651
c,r,c,c,6,6,8,J,A,2,3,3,2375
c,c,r,rr,2,5,6,7,J,2,2,0,2574
c,r,r,c,4,9,K,A,A,1,2,3,4135
c,c,c,c,3,T,J,Q,Q,2,2,0,3593
c,r,r,r,7,9,T,T,A,3,4,4,4958
c,c,r,r,4,5,5,6,K,2,2,0,4201
c,r,r,c,3,7,J,J,K,1,1,0,4553
r,r,r,r,3,8,9,J,Q,2,2,3,3640
c,c,r,c,9,J,J,Q,A,2,2,0,3466
c,r,r,r,2,2,3,3,6,2,3,3,4218
c,c,c,c,5,8,9,T,J,2,3,3,5861
c,c,c,rr,5,T,J,Q,K,1,2,3,5861
c,c,r,c,4,8,T,T,Q,2,22,3,4727
c,c,c,c,3,5,8,T,K,2,2,0,3199
r,r,r,c,3,4,8,9,J,1,2,0,1104
c,c,r,r,3,4,6,9,J,1,1,0,2356
c,c,r,r,3,4,8,8,J,1,2,3,4323
r,r,r,c,3,3,7,8,A,2,2,0,4653
c,c,c,c,2,3,J,K,K,2,3,4,3799
c,c,c,c,4,5,7,Q,A,2,2,3,3656
c,c,c,c,3,7,J,K,A,2,3,4,1211
c,c,r,c,2,4,5,5,K,2,2,0,4179
c,r,r,c,7,8,T,Q,K,2,2,0,3851
c,r,rr,r,6,7,9,T,K,2,22,3,5509
c,c,c,c,5,6,Q,K,A,1,2,3,1266
r,c,c,c,3,4,6,8,T,1,2,0,1188
c,c,c,c,2,3,8,8,Q,2,22,3,2716
c,c,r,r,4,8,9,T,Q,2,22,0,1828
c,r,rr,r,4,7,7,T,J,2,2,0,4597
c,c,c,rr,2,7,8,J,K,1,2,0,3397
c,c,c,c,7,J,Q,Q,Q,2,2,0,5699
c,rr,c,c,3,5,7,T,Q,2,22,3,2048
c,c,c,r,3,7,8,8,K,2,2,0,4355
c,c,c,c,2,5,6,6,J,2,2,3,2238
c,r,r,rr,7,T,J,Q,Q,2,22,0,4739
c,c,c,r,2,3,8,9,Q,1,2,0,1381
c,c,c,c,2,2,6,7,T,2,2,0,1467
c,c,c,c,8,T,J,K,A,2,2,0,3475
c,r,c,c,2,6,Q,Q,K,2,2,0,3611
c,c,c,c,2,3,9,T,A,2,3,3,992
c,c,r,c,3,9,9,Q,A,2,22,0,3025
c,r,c,c,3,7,8,9,T,2,3,4,1608
rr,r,r,r,4,6,8,8,Q,1,2,0,4817
c,rr,r,c,3,4,9,J,A,1,2,0,2136
c,c,c,c,3,4,4,6,Q,1,2,0,5191
c,r,r,c,2,3,5,9,J,2,2,0,2932
c,rr,r,rr,5,7,9,J,A,1,2,0,4125
c,r,c,c,3,3,5,K,K,2,2,3,4763
c,r,c,c,2,4,5,6,A,2,2,0,2120
c,c,c,c,2,3,J,J,Q,2,22,0,3353
c,r,c,c,2,3,4,7,Q,2,2,0,1810
c,c,c,c,4,T,K,A,A,1,2,0,4117
c,c,c,c,3,8,T,Q,A,1,2,3,2585
c,r,c,r,9,9,J,Q,A,1,2,0,3036
c,r,c,c,5,6,7,9,K,1,1,0,2539
c,c,rr,rr,2,8,9,9,A,2,3,3,4947
c,r,r,rr,2,3,7,7,Q,2,3,4,6866
c,r,c,rr,9,9,T,J,Q,1,2,0,5861
c,rr,rr,rr,2,3,3,J,K,2,3,3,7160
rr,rr,r,rr,2,5,8,9,J,2,22,0,4028
c,c,c,c,2,4,5,5,J,1,2,0,2136
c,c,r,c,3,7,8,K,A,2,2,0,2596
c,c,c,c,3,3,J,K,K,2,2,0,4761
c,c,rr,r,5,6,8,T,Q,2,2,0,4343
c,c,c,c,8,J,Q,K,K,2,2,0,3859
c,r,r,c,3,6,8,9,J,2,2,0,2311
c,c,c,c,4,7,8,J,Q,1,2,3,448
c,c,c,r,2,6,9,9,J,1,2,3,2981
c,r,r,c,5,8,9,J,K,1,2,3,2531
c,c,c,c,5,5,6,8,A,2,22,0,2136
c,rr,rr,rr,7,8,9,T,A,2,2,0,4521
rr,r,c,rr,3,6,T,J,Q,1,1,0,4081
c,c,c,c,2,5,7,T,A,2,2,0,901
r,r,r,r,5,5,9,A,A,2,2,0,4905
c,rr,r,r,7,T,T,T,Q,3,3,3,7245
c,c,c,c,2,4,5,Q,K,2,2,0,773
c,r,r,c,4,8,8,9,Q,2,2,3,4704
c,c,c,c,7,T,K,K,A,2,2,0,3895
c,c,c,c,4,5,8,T,K,2,22,3,578
c,r,c,r,3,4,T,J,J,1,2,0,7160
c,c,c,c,2,5,8,9,Q,1,1,0,425
c,r,c,r,2,8,K,A,A,2,2,0,4134
c,rr,rr,c,2,4,8,T,J,2,22,3,2679
c,r,c,c,3,5,9,T,K,1,2,3,1644
c,c,c,c,3,7,9,K,A,2,3,4,3897
c,r,c,c,5,5,9,T,A,1,2,0,2156
r,rr,rr,c,6,7,J,Q,A,3,4,4,4971
c,r,r,c,2,2,5,7,9,1,1,0,1462
c,r,r,c,2,5,6,T,J,2,2,0,1229
c,r,rr,r,2,2,7,J,K,2,2,0,4146
c,c,c,c,5,7,9,K,A,3,3,4,4433
c,r,rr,r,8,9,T,T,J,2,2,0,5859
c,r,rr,rr,3,5,T,J,Q,1,1,0,5105
c,c,c,c,3,4,5,6,A,1,2,0,2141
c,c,c,c,4,6,Q,K,A,1,2,0,1936
c,c,c,c,3,5,9,9,J,1,2,0,2899
c,r,c,c,2,2,5,6,A,1,1,0,4180
c,rr,rr,rr,2,6,Q,Q,K,1,2,0,7270
r,rr,r,c,2,J,J,Q,A,2,3,4,4982
c,r,c,c,2,7,8,J,Q,2,2,3,1614
c,c,c,r,4,5,7,9,Q,2,22,0,2479
c,r,c,c,2,5,5,9,T,2,3,3,1991
r,r,rr,rr,5,9,9,J,K,2,2,0,4950
c,r,c,c,2,5,7,K,A,3,4,4,6653
c,c,c,r,2,6,K,A,A,1,2,3,4917
c,c,c,c,4,6,7,J,A,2,3,3,928
c,r,c,c,2,2,4,J,Q,2,2,0,1441
c,r,c,r,3,5,6,8,T,2,2,3,3066
c,rr,rr,rr,2,4,4,7,J,1,1,0,7172
c,c,c,c,6,6,Q,Q,A,2,3,3,4686
c,c,c,r,3,5,6,7,K,2,2,0,2591
c,r,r,c,4,5,7,J,A,2,2,0,1917
c,c,c,r,6,7,T,J,Q,2,2,3,3686
rr,r,r,rr,2,5,9,K,A,2,3,4,7053
r,c,r,r,5,5,5,T,T,2,2,0,7239
c,r,c,r,4,5,J,Q,Q,1,2,0,4675
c,c,r,r,3,T,J,Q,A,2,2,3,3466
c,r,c,rr,3,5,5,K,K,2,2,3,6396
c,r,c,c,2,2,9,K,A,2,3,3,4752
c,c,c,r,4,5,5,8,K,2,3,3,2154
c,r,r,r,2,4,4,7,T,1,2,0,4477
c,r,r,c,2,6,7,8,K,2,2,0,741
c,c,c,c,4,7,9,Q,A,2,3,4,4134
c,c,c,c,2,9,9,J,A,1,2,0,3013
c,rr,r,r,4,5,8,T,A,2,2,3,4521
c,c,c,c,3,6,T,J,K,1,2,0,1715
c,c,c,c,8,T,T,T,Q,1,1,0,5577
c,r,c,c,T,J,Q,Q,K,2,22,3,4861
