@RELATION SimpleHROppModel
@ATTRIBUTE preflop_actions {c,r,rr}
@ATTRIBUTE flop_actions {c,r,rr}
@ATTRIBUTE turn_actions {c,r,rr}
@ATTRIBUTE river_actions {c,r,rr}
@ATTRIBUTE c_card_1_rank {2,3,4,5,6,7,8,9,T,J,Q,K,A}
@ATTRIBUTE c_card_2_rank {2,3,4,5,6,7,8,9,T,J,Q,K,A}
@ATTRIBUTE c_card_3_rank {2,3,4,5,6,7,8,9,T,J,Q,K,A}
@ATTRIBUTE c_card_4_rank {2,3,4,5,6,7,8,9,T,J,Q,K,A}
@ATTRIBUTE c_card_5_rank {2,3,4,5,6,7,8,9,T,J,Q,K,A}
@ATTRIBUTE num_suited_flop {1,2,3}
@ATTRIBUTE num_suited_turn {1,2,3,4,22}
@ATTRIBUTE num_suited_river {0,3,4,5}
@ATTRIBUTE hand_rank NUMERIC
@DATA
c,rr,r,r,7,4,3,J,K,1,2,0,5855
c,c,c,c,2,A,5,Q,Q,1,2,0,3666
c,c,r,c,Q,Q,2,3,8,2,22,0,3684
c,c,c,c,T,K,A,Q,2,2,2,0,2596
c,r,r,c,2,4,7,2,J,2,2,3,4254
c,r,r,r,9,A,7,Q,2,2,2,0,3677
c,c,c,c,K,9,2,4,T,1,2,0,1194
c,c,c,c,2,A,T,2,6,2,2,0,1468
rr,r,c,c,8,A,4,2,K,2,3,3,3253
c,c,c,c,7,6,Q,9,3,3,3,3,2488
c,c,c,c,4,J,2,T,5,2,2,3,433
c,c,r,c,K,9,J,K,3,1,1,0,4763
r,r,c,c,J,9,6,7,7,1,2,0,2532
c,r,r,c,7,5,J,T,2,2,22,3,3119
r,r,rr,c,J,T,6,8,7,1,2,0,3375
c,rr,r,c,4,2,J,Q,4,2,22,0,4733
c,c,c,c,T,6,2,9,5,2,2,0,360
c,c,r,c,7,9,4,T,8,2,3,4,5972
c,c,c,c,3,2,Q,4,T,1,2,0,3151
c,rr,c,c,7,3,K,T,7,1,2,0,2595
c,c,r,c,8,7,9,A,K,2,2,3,2153
r,rr,r,rr,8,T,9,Q,8,2,2,0,5860
c,c,c,c,5,K,8,8,6,1,2,0,4322
c,c,r,r,9,2,7,Q,Q,2,2,0,4693
c,r,r,c,7,3,3,5,8,2,2,0,4384
r,r,r,c,Q,8,K,K,7,1,1,0,4850
c,r,r,c,6,5,2,8,2,2,3,3,4208
c,c,c,c,6,3,5,3,7,2,2,3,4383
c,c,c,c,7,4,7,J,9,1,2,3,4433
c,r,rr,r,9,7,4,4,3,2,2,0,5169
c,r,r,rr,2,6,J,4,J,2,2,0,4582
r,r,c,r,9,8,6,9,J,1,2,0,5860
c,r,rr,r,T,K,7,4,4,2,2,3,4476
r,rr,rr,c,8,A,7,5,9,2,2,0,4064
c,c,r,c,K,Q,2,T,T,2,2,0,4509
c,c,c,rr,6,5,3,T,K,2,2,3,6990
c,r,c,c,9,8,6,3,8,2,2,0,4351
c,r,c,rr,5,K,7,J,T,2,3,3,3201
c,rr,r,rr,9,K,6,K,K,2,22,0,7279
c,c,c,c,6,7,2,Q,3,2,2,0,1247
c,r,r,c,Q,3,4,4,6,2,2,3,1926
c,c,c,c,6,J,8,3,J,1,2,0,3291
c,c,c,c,Q,5,K,2,9,1,1,0,718
c,c,c,c,2,9,Q,2,Q,1,2,3,4642
c,c,c,c,J,Q,9,5,J,1,2,0,3367
c,r,c,c,9,5,8,4,K,2,3,3,1933
c,r,rr,r,A,7,6,3,T,1,1,0,5123
c,c,r,r,A,6,7,T,5,2,2,0,2347
rr,r,c,c,2,J,A,8,6,2,2,0,1231
c,r,c,r,4,9,9,5,J,2,3,3,4400
c,c,c,c,9,J,K,6,4,1,2,0,1222
r,r,c,c,3,4,3,4,3,1,2,0,7153
c,r,rr,r,A,Q,6,8,3,2,2,0,4133
c,rr,r,r,K,3,4,Q,A,2,2,0,5126
c,rr,r,r,2,K,9,T,2,1,2,3,4751
c,c,r,r,J,Q,Q,6,K,1,2,3,5709
c,c,c,c,8,3,8,2,Q,2,2,0,2800
c,c,c,c,4,Q,J,3,4,1,2,0,1836
c,c,c,c,K,5,2,2,Q,2,2,0,1437
c,r,c,c,7,J,8,4,5,2,2,3,2679
c,r,rr,rr,8,J,T,4,K,2,3,3,6231
c,c,c,c,4,7,T,K,K,1,2,0,3895
c,c,c,r,7,9,7,7,9,1,2,0,7206
c,r,r,c,8,3,9,2,3,2,2,3,4164
c,c,c,c,7,Q,7,K,J,1,2,0,2596
c,r,r,c,8,5,T,3,9,2,2,0,1992
c,r,c,c,2,J,8,4,9,1,2,0,2796
c,c,c,c,2,K,T,8,J,2,2,0,2092
c,r,c,r,6,A,Q,2,T,1,1,0,1496
c,c,r,c,8,Q,K,5,A,2,22,0,1253
c,rr,r,c,4,2,K,2,7,2,3,4,4768
c,r,rr,rr,A,9,9,A,T,2,22,0,7291
rr,rr,rr,r,4,9,Q,6,3,2,22,0,3622
c,r,r,c,2,7,K,9,8,2,2,0,3889
r,r,c,c,A,9,3,T,K,1,2,3,3906
c,rr,r,rr,5,4,Q,A,8,1,2,3,6878
c,r,r,r,4,9,9,T,Q,2,2,3,4431
c,r,c,c,7,3,J,9,9,1,2,0,2981
c,r,r,r,J,8,4,Q,5,2,22,3,3684
c,c,c,c,8,5,3,K,Q,2,3,4,741
c,r,c,c,7,J,A,J,9,2,2,0,5651
c,rr,rr,r,8,T,Q,7,3,2,2,3,3141
c,rr,c,r,K,8,A,Q,5,1,2,0,4862
c,c,c,c,6,3,2,K,4,2,2,3,757
r,rr,c,c,5,T,Q,4,2,1,1,0,3372
rr,c,rr,r,6,6,J,8,4,2,2,0,4684
c,r,r,r,4,T,6,J,K,1,1,0,4564
c,rr,c,c,Q,K,7,7,9,1,2,0,4696
c,r,c,c,2,8,2,7,6,2,3,3,4152
c,c,c,c,Q,Q,K,5,7,1,2,0,3630
c,c,c,c,5,A,8,6,J,1,2,3,1111
rr,c,c,c,9,9,6,Q,2,2,2,0,2981
c,rr,r,r,K,A,2,2,4,3,3,4,7164
c,c,c,c,6,T,3,6,K,2,2,0,2320
c,rr,r,r,4,9,K,Q,2,2,22,3,4859
c,r,rr,rr,A,4,3,T,7,1,1,0,3987
c,c,r,c,3,2,7,9,6,3,4,4,5890
c,rr,c,rr,2,8,7,3,6,1,2,0,4295
c,r,c,c,6,4,8,7,2,2,3,3,1896
c,c,c,c,A,5,2,6,9,2,3,3,2349
c,c,c,r,T,7,T,Q,K,2,3,3,4839
c,r,rr,r,9,K,4,3,6,2,3,3,3842
c,r,r,c,2,T,J,Q,J,2,22,0,4740
c,r,rr,r,9,Q,J,J,5,2,2,0,5653
c,r,c,c,5,6,4,8,7,2,22,3,5863
c,c,c,c,3,6,2,3,7,1,2,3,4162
c,c,r,c,4,7,6,7,4,2,2,0,4283
c,rr,r,c,4,6,Q,T,K,1,2,3,2980
c,r,r,r,3,A,5,2,K,2,2,0,5853
c,c,c,r,Q,8,5,Q,9,2,22,0,4715
c,c,r,r,4,K,3,9,7,1,2,0,5376
c,r,c,c,K,9,A,5,2,2,3,3,1232
c,rr,rr,r,J,Q,6,3,7,1,2,0,2714
c,r,rr,rr,8,5,3,9,A,1,1,0,4946
c,r,r,c,A,K,4,4,2,2,2,3,4986
c,r,r,r,7,6,J,3,K,2,3,4,4300
c,r,c,c,K,K,7,7,9,2,22,3,4807
c,r,c,c,J,3,2,K,7,2,3,3,1649
c,r,c,r,9,K,5,5,5,2,22,0,7182
c,r,r,r,Q,K,A,2,A,2,2,0,4994
r,r,r,r,2,4,7,7,9,1,2,0,4924
c,r,c,c,4,8,5,A,J,2,2,0,1695
c,r,r,c,3,K,8,6,7,2,2,3,3882
c,r,c,c,3,T,4,Q,6,2,22,0,437
c,r,rr,r,8,3,K,6,7,2,2,0,5309
c,r,r,c,Q,K,7,K,K,3,3,3,5786
c,c,c,c,2,4,8,Q,T,1,2,3,738
c,rr,r,r,T,5,6,8,6,2,2,0,4494
c,rr,c,r,9,3,2,J,4,1,1,0,4166
c,r,r,r,8,7,2,2,5,2,2,0,4360
c,rr,r,r,4,3,4,7,T,1,1,0,5153
c,r,r,c,4,4,9,A,9,2,2,0,4400
c,r,c,c,3,4,K,J,4,1,2,0,1936
c,c,r,r,K,J,7,8,2,2,2,0,2090
c,r,rr,r,8,8,J,7,K,1,2,0,5444
c,rr,r,c,K,T,5,9,Q,2,22,3,3036
c,c,c,c,J,3,9,3,A,2,3,3,1696
c,r,c,c,K,6,6,7,9,2,2,0,2376
c,rr,c,r,8,7,3,J,A,2,2,0,4367
c,r,rr,r,J,8,9,4,7,1,2,0,5860
c,r,c,c,7,8,8,5,K,2,2,0,2812
c,c,c,c,3,J,T,4,7,2,22,0,441
c,c,r,r,3,3,J,6,Q,1,2,3,4735
c,r,c,c,J,4,A,6,Q,1,2,0,3476
c,r,rr,r,2,7,2,7,K,2,2,0,4267
c,r,r,c,5,9,2,9,J,1,2,0,3014
c,c,c,c,6,3,A,7,5,1,2,0,1183
c,c,r,r,Q,Q,K,K,3,2,2,0,4862
r,rr,rr,r,A,J,2,3,A,2,22,0,4970
c,c,c,c,T,6,2,5,6,2,2,0,2312
c,rr,rr,r,8,K,A,J,7,2,3,3,4993
c,r,c,c,T,7,9,6,2,3,3,3,3183
c,c,rr,r,9,K,2,Q,8,3,4,4,6605
c,c,r,c,9,8,3,J,5,2,3,3,2891
c,r,r,c,8,8,9,T,4,1,2,0,4440
c,c,r,c,6,Q,J,A,Q,2,22,0,3685
c,r,r,r,A,K,7,4,5,2,2,0,4115
c,c,r,c,2,8,2,T,9,1,1,0,4176
c,c,c,c,Q,T,8,4,A,2,2,0,1111
c,r,c,r,5,5,K,5,J,2,2,0,5258
c,rr,rr,r,2,T,8,3,6,2,2,0,4308
r,r,rr,c,4,J,Q,8,9,2,22,3,3685
c,r,c,rr,3,A,9,K,3,3,3,3,4884
c,c,r,c,8,A,8,6,T,2,3,3,4323
rr,r,r,c,J,K,T,Q,3,2,2,0,5577
c,r,rr,r,J,7,K,9,4,1,2,3,5861
c,c,c,r,A,5,2,3,Q,2,2,0,4675
c,c,r,c,A,A,A,3,5,1,1,0,5837
r,c,rr,c,J,5,A,8,6,1,2,3,4124
r,r,r,r,3,4,5,K,K,2,2,0,4844
c,r,r,c,6,Q,2,9,K,2,3,4,2319
c,c,rr,rr,Q,7,A,7,3,2,2,3,5389
c,r,r,r,5,5,Q,4,A,1,2,0,5257
c,c,c,c,3,2,Q,8,A,1,2,0,1027
c,r,r,r,4,Q,T,K,5,1,2,0,3199
r,c,c,rr,K,4,A,T,Q,3,3,3,5862
c,r,r,r,Q,6,4,Q,Q,3,3,3,6172
c,c,c,rr,2,Q,4,3,T,2,3,3,5950
c,c,c,c,K,K,3,9,6,1,2,0,3905
c,rr,r,c,3,8,9,7,5,1,1,0,2850
c,c,r,c,2,J,A,3,8,1,2,0,938
c,r,c,c,4,6,K,5,5,2,22,3,4778
c,c,r,r,K,5,K,K,8,1,2,0,5782
c,r,c,c,4,K,T,T,9,1,1,0,3254
c,c,c,rr,2,3,K,3,8,2,3,4,6337
c,r,c,rr,4,T,8,T,9,2,2,3,5858
c,c,c,c,T,4,9,T,7,2,3,3,3200
c,c,c,c,6,9,7,T,T,3,3,3,4495
c,rr,rr,rr,T,A,4,5,Q,3,3,3,4135
c,r,r,c,8,7,7,9,4,1,2,0,2495
c,rr,c,c,5,5,3,8,A,2,2,0,2156
c,rr,r,r,7,4,4,7,3,2,2,0,4425
c,c,c,c,K,8,Q,5,Q,3,4,4,6552
c,rr,r,r,J,5,T,9,4,2,3,3,3156
c,c,rr,r,8,3,4,Q,6,3,4,5,6884
c,r,r,r,7,K,A,Q,6,2,3,3,3912
c,c,c,c,7,Q,5,5,J,2,2,0,2055
c,c,c,c,6,T,8,2,T,2,22,0,3244
c,r,c,r,J,A,9,T,A,1,1,0,4926
c,c,c,c,9,8,4,T,5,2,3,4,1909
r,r,r,r,T,K,5,5,A,2,2,0,7239
c,r,r,r,K,4,A,J,9,1,2,0,3916
r,c,c,c,K,8,3,2,Q,2,2,0,1267
c,c,c,r,8,6,A,A,9,1,2,3,4913
c,rr,r,r,8,6,A,4,9,1,2,0,2789
c,c,r,r,5,K,J,4,6,2,3,3,2089
c,r,rr,c,6,J,2,3,Q,1,2,0,2321
c,r,c,c,2,5,8,T,2,1,2,0,4177
c,c,rr,r,A,6,K,T,7,2,22,0,5862
c,r,c,r,8,9,6,5,5,1,1,0,4406
c,r,r,c,4,3,9,4,7,2,2,0,1924
c,r,r,c,6,Q,Q,T,8,1,2,0,3632
c,c,c,c,7,6,8,A,T,3,4,4,1111
c,c,c,c,5,K,8,T,8,1,1,0,2741
c,c,c,r,9,2,J,T,4,2,2,0,3457
c,c,c,c,3,K,5,8,5,1,1,0,4344
c,r,r,r,2,7,6,6,Q,2,22,0,7353
c,r,c,c,2,J,3,K,9,1,2,3,1432
c,c,rr,c,5,J,A,K,Q,1,2,0,2596
c,r,c,r,9,2,A,3,8,1,1,0,1713
c,r,c,c,A,J,3,T,8,1,2,0,1231
rr,r,c,r,K,7,8,K,9,1,2,3,5859
r,c,r,c,7,4,6,4,8,2,22,0,1834
c,rr,r,r,4,9,K,Q,8,1,1,0,3036
c,r,r,c,K,A,8,7,2,2,3,3,4133
c,r,c,c,3,T,8,6,9,1,2,0,1689
c,r,c,r,J,4,J,A,6,1,2,3,4970
c,c,r,r,A,K,T,3,9,1,2,0,3897
c,c,c,c,3,9,5,Q,A,1,2,3,1037
c,r,c,c,4,5,5,7,K,2,2,3,4779
c,r,rr,r,5,8,4,Q,5,3,3,3,4672
c,r,r,c,7,T,T,9,K,1,2,0,4509
c,c,r,c,T,8,9,K,8,2,2,3,4521
c,rr,r,c,Q,5,Q,4,7,2,3,3,4672
c,c,c,c,6,2,Q,Q,8,2,2,0,4702
rr,rr,c,c,7,3,8,A,2,2,22,0,3882
c,c,c,c,9,4,J,5,6,1,2,3,2311
c,r,r,rr,9,6,A,4,5,2,2,0,3966
c,r,rr,r,8,K,4,T,8,2,2,0,7169
c,c,r,c,T,J,T,A,9,1,2,0,4959
c,c,r,r,4,Q,9,J,K,1,2,3,4619
c,c,c,r,A,6,5,K,K,2,22,0,4796
c,c,c,r,5,7,K,4,J,2,2,0,2091
c,c,c,c,T,8,A,3,T,2,22,0,3256
c,r,r,r,5,9,5,K,8,2,3,3,4781
c,r,c,r,4,T,3,A,T,1,2,0,4477
c,c,r,r,K,2,8,3,K,2,22,3,3913
c,c,r,c,A,J,5,9,2,2,3,3,2136
c,r,c,c,Q,9,Q,2,3,1,1,0,3596
c,r,c,c,T,4,K,J,3,2,2,0,1872
c,c,c,c,8,A,2,K,K,2,2,0,3916
c,r,c,c,7,7,3,8,5,1,2,0,2575
c,r,c,r,7,3,2,2,7,2,22,0,4257
c,r,r,r,K,9,J,8,5,1,2,0,2155
c,r,r,c,T,5,6,J,A,1,2,3,2155
r,r,c,c,7,6,5,J,5,1,2,0,4485
c,rr,rr,c,8,3,7,5,5,2,2,0,4343
c,r,c,c,2,5,4,9,3,2,3,3,5853
c,rr,rr,rr,2,3,A,6,5,1,2,0,5854
rr,r,rr,r,J,Q,6,6,A,2,2,0,7264
rr,rr,r,rr,7,2,3,5,9,1,1,0,3085
c,r,c,c,4,3,8,Q,2,3,4,5,6124
c,c,c,c,3,J,T,3,8,2,2,0,1579
r,r,r,r,J,A,Q,3,7,2,2,3,5653
c,rr,r,c,A,4,5,7,8,3,3,4,5451
c,c,c,c,K,7,2,J,J,2,2,0,3391
c,r,c,r,5,2,2,A,9,2,22,3,1486
c,r,r,r,J,3,K,4,Q,2,3,4,6565
c,c,c,c,3,K,6,2,9,2,2,3,1194
c,c,c,c,7,K,5,4,K,2,2,0,3876
r,r,rr,c,J,J,J,2,7,1,2,3,7248
c,r,r,c,A,3,7,6,4,1,1,0,1694
c,r,rr,r,K,5,7,T,6,2,2,0,3198
r,r,r,rr,2,Q,J,5,9,2,2,3,4738
c,c,c,c,2,3,5,7,7,2,22,0,2485
c,r,c,c,7,3,A,5,9,1,2,3,1901
r,c,c,c,T,7,5,3,3,2,3,3,1714
c,rr,r,rr,5,4,7,Q,J,3,3,3,5171
c,c,c,c,9,2,T,8,7,1,2,3,120
c,c,c,r,6,7,J,9,6,1,1,0,4419
c,r,r,c,A,K,5,8,7,2,22,0,1253
c,r,r,c,5,8,2,8,7,2,22,0,2795
c,r,r,r,Q,Q,9,T,K,2,22,0,5861
c,r,r,c,7,2,A,T,K,2,22,3,2594
c,r,c,r,K,9,K,3,8,2,3,3,3897
c,c,c,c,8,A,T,K,A,3,3,3,4135
c,c,c,c,Q,7,3,3,4,1,2,3,4277
c,rr,r,c,K,4,K,9,Q,1,2,0,3914
c,rr,r,c,Q,J,K,K,7,2,22,3,3916
c,c,r,r,6,9,8,J,4,1,2,0,1104
c,r,rr,r,5,2,J,A,8,2,22,0,5853
c,c,c,c,8,T,2,A,K,1,2,3,2814
c,r,rr,c,A,T,2,K,J,2,22,0,4126
c,r,r,c,A,2,8,Q,J,1,2,0,1496
c,rr,r,rr,Q,2,A,T,J,1,2,0,4971
c,rr,c,r,J,T,2,A,7,1,2,0,3475
c,c,r,rr,8,K,Q,3,A,2,2,3,4133
c,c,rr,r,5,4,T,A,K,2,22,3,4113
c,c,c,c,6,8,5,A,3,1,1,0,943
c,c,c,c,J,2,9,5,K,1,1,0,625
rr,c,r,c,8,8,6,T,4,1,2,0,2805
c,c,c,c,4,8,4,K,8,2,22,0,4813
c,r,c,c,9,9,T,T,8,2,22,0,4531
c,r,c,c,4,9,7,Q,Q,2,22,0,3525
c,r,r,rr,T,A,8,9,3,2,2,0,3229
c,r,r,rr,Q,9,7,J,5,1,2,0,3587
c,r,r,c,J,T,2,T,8,1,2,3,3255
c,c,rr,r,2,3,8,K,2,2,2,0,4311
c,c,c,r,T,Q,2,Q,A,1,2,3,4730
rr,rr,c,rr,A,7,7,4,A,1,1,0,4978
c,rr,r,r,Q,2,A,8,4,1,1,0,3693
c,c,r,c,7,4,6,7,K,2,2,0,4807
c,rr,c,c,2,9,3,A,A,2,3,3,4949
c,c,r,c,3,K,3,9,5,1,1,0,4191
c,c,r,c,K,A,Q,7,9,2,2,0,2596
c,r,c,r,A,Q,4,6,K,2,3,3,3913
c,c,r,r,7,K,A,5,9,2,2,0,2153
c,c,c,c,A,K,T,2,7,1,2,0,1231
c,r,r,r,9,2,6,K,5,1,2,0,3806
c,c,c,c,3,2,5,Q,J,1,1,0,1095
c,r,r,r,Q,J,9,2,5,2,2,0,2933
c,r,r,c,7,5,9,3,4,2,2,0,1965
c,r,r,c,7,9,2,T,6,2,22,3,1075
c,c,c,c,Q,2,K,A,Q,1,2,0,3695
c,c,r,c,4,A,J,7,4,1,2,0,1914
rr,r,c,r,7,6,Q,6,T,2,2,0,4585
c,r,r,c,A,2,4,3,T,1,1,0,1917
c,rr,r,r,7,K,8,J,7,1,2,0,4366
c,c,c,c,5,5,T,2,7,1,1,0,2137
c,r,r,rr,3,5,6,5,4,1,2,3,5855
c,c,r,r,4,7,5,Q,8,2,3,4,5432
c,c,r,c,4,Q,6,5,6,3,3,3,4420
c,c,c,c,5,4,T,T,9,1,2,3,3120
c,r,r,rr,K,9,T,5,4,2,22,0,3780
r,rr,rr,rr,7,K,Q,Q,2,2,2,0,5720
c,r,r,r,A,8,3,J,Q,2,22,3,4081
c,c,rr,c,5,8,6,T,4,1,1,0,3221
r,r,r,rr,7,J,3,K,8,1,2,0,3473
c,c,rr,r,K,A,4,3,K,1,2,0,4796
c,r,r,c,Q,8,7,J,8,1,2,0,4365
c,r,r,r,5,T,A,2,4,3,3,3,7041
c,r,rr,r,J,Q,3,4,2,3,3,3,6272
rr,c,c,c,7,2,K,3,7,2,2,0,2595
c,r,c,c,8,2,3,8,J,2,2,0,2793
c,r,rr,c,7,8,6,A,5,2,2,0,4102
c,c,r,r,K,A,7,J,2,2,2,3,3476
c,c,rr,r,5,3,6,K,8,2,3,4,6422
c,c,r,r,K,A,T,8,4,1,1,0,4117
c,c,c,c,8,7,Q,2,A,2,22,3,1069
c,rr,r,rr,6,T,3,8,K,2,22,0,4498
c,r,r,c,5,3,4,T,4,1,1,0,4165
c,c,c,c,T,K,A,9,3,2,2,0,3254
c,c,c,c,5,5,4,7,T,1,2,0,2018
c,r,r,c,T,A,T,Q,3,1,1,0,4960
c,rr,rr,rr,A,6,Q,8,3,1,1,0,4133
c,c,c,c,9,K,9,J,J,1,1,0,4619
c,r,r,r,9,5,6,4,T,1,2,0,2431
c,r,c,rr,3,A,7,2,K,1,2,0,4123
c,rr,r,c,T,3,7,6,A,1,2,0,2567
r,c,c,r,8,2,K,9,A,2,2,3,4873
c,rr,c,c,7,4,3,J,K,1,2,0,2595
c,c,c,c,2,A,5,Q,Q,1,2,0,3695
c,r,rr,c,Q,Q,2,3,8,2,22,0,3676
c,c,c,c,T,K,A,Q,2,2,2,0,3256
c,rr,r,c,2,4,7,2,J,2,2,3,4254
c,r,c,c,9,A,7,Q,2,2,2,0,1924
c,c,c,c,K,9,2,4,T,1,2,0,3182
c,c,c,c,2,A,T,2,6,2,2,0,1494
rr,r,c,r,8,A,4,2,K,2,3,3,3473
c,c,c,c,7,6,Q,9,3,3,3,3,1600
c,c,c,c,4,J,2,T,5,2,2,3,1108
r,c,r,c,K,9,J,K,3,1,1,0,3906
c,c,c,c,J,9,6,7,7,1,2,0,4276
r,r,c,c,7,5,J,T,2,2,22,3,3410
c,r,r,c,J,T,6,8,7,1,2,0,3155
r,r,r,r,4,2,J,Q,4,2,22,0,1936
c,r,r,c,T,6,2,9,5,2,2,0,746
c,r,r,r,7,9,4,T,8,2,3,4,5859
c,c,c,c,3,2,Q,4,T,1,2,0,331
r,rr,r,r,7,3,K,T,7,1,2,0,7277
c,r,rr,r,8,7,9,A,K,2,2,3,4117
c,r,c,r,8,T,9,Q,8,2,2,0,2816
c,c,c,c,5,K,8,8,6,1,2,0,2742
c,r,c,c,9,2,7,Q,Q,2,2,0,4682
c,c,r,c,7,3,3,5,8,2,2,0,1703
c,r,r,c,Q,8,K,K,7,1,1,0,3915
c,c,r,c,6,5,2,8,2,2,3,3,4207
r,c,c,c,6,3,5,3,7,2,2,3,4140
c,r,r,c,7,4,7,J,9,1,2,3,5359
c,rr,rr,c,9,7,4,4,3,2,2,0,4394
c,r,r,rr,2,6,J,4,J,2,2,0,5638
c,r,r,r,9,8,6,9,J,1,2,0,4619
r,r,r,rr,T,K,7,4,4,2,2,3,4663
c,r,r,r,8,A,7,5,9,2,2,0,5857
c,c,r,r,K,Q,2,T,T,2,2,0,5588
c,r,c,rr,6,5,3,T,K,2,2,3,1714
c,r,r,c,9,8,6,3,8,2,2,0,2759
c,rr,r,rr,5,K,7,J,T,2,3,3,4838
c,rr,r,rr,9,K,6,K,K,2,22,0,7437
c,c,c,c,6,7,2,Q,3,2,2,0,1437
c,r,r,c,Q,3,4,4,6,2,2,3,4167
c,c,c,c,6,J,8,3,J,1,2,0,3441
c,c,c,c,Q,5,K,2,9,1,1,0,2977
c,c,c,c,2,9,Q,2,Q,1,2,3,4638
c,c,c,c,J,Q,9,5,J,1,2,0,3376
c,c,c,c,9,5,8,4,K,2,3,3,664
r,r,rr,c,A,7,6,3,T,1,1,0,3455
c,c,rr,c,A,6,7,T,5,2,2,0,3252
rr,rr,r,r,2,J,A,8,6,2,2,0,3904
c,c,r,c,4,9,9,5,J,2,3,3,4411
c,c,c,c,9,J,K,6,4,1,2,0,1871
c,c,c,c,3,4,3,4,3,1,2,0,7153
c,r,r,r,A,Q,6,8,3,2,2,0,3661
c,rr,r,r,K,3,4,Q,A,2,2,0,3691
c,r,c,r,2,K,9,T,2,1,2,3,5047
c,r,r,c,J,Q,Q,6,K,1,2,3,4685
c,c,c,c,8,3,8,2,Q,2,2,0,2695
c,c,c,c,4,Q,J,3,4,1,2,0,1926
c,c,c,c,K,5,2,2,Q,2,2,0,1439
c,r,r,r,7,J,8,4,5,2,2,3,5160
c,c,r,rr,8,J,T,4,K,2,3,3,4849
c,c,c,c,4,7,T,K,K,1,2,0,3895
c,c,c,rr,7,9,7,7,9,1,2,0,7206
c,c,c,r,8,3,9,2,3,2,2,3,5081
c,c,c,c,7,Q,7,K,J,1,2,0,4597
c,r,r,r,8,5,T,3,9,2,2,0,3120
c,c,r,c,2,J,8,4,9,1,2,0,3340
c,r,c,c,2,K,T,8,J,2,2,0,2761
c,r,r,rr,6,A,Q,2,T,1,1,0,4916
